Tarea;Duración;Progreso;Inicio;Final
Estudio de las técnicas Kaizen Production System;5;1;10/02/2025;15/02/2025
Planteamiento Inicial y método de extracción de datos;;;;
Presentación y primera visita a la fábrica;1;1;17/02/2025;17/02/2025
Estudio y diseño de implementación en líneas piloto;1;1;18/02/2025;18/02/2025
Primer ánalisi de los datos disponibles;1;1;19/02/2025;19/02/2025
Generación de plantillas para la toma de datos Línea de Botes;1;1;20/02/2025;20/02/2025
Generación de plantillas para la toma de datos Línea de Líquidos;1;1;21/02/2025;21/02/2025
Estudio de la situación actual;;;;
Inicio de los registros de datos por parte de operarios Línea de Botes;1;1;24/02/2025;24/02/2025
Inicio de los registros de datos por parte de operarios Línea de Líquidos;1;1;24/02/2025;24/02/2025
Set-up de método de gravacion de vídeo en línea de Botes;1;1;24/02/2025;24/02/2025
Shadowing y registro de tareas (As Is) Limpieza Completa Línea de Botes;1;1;25/02/2025;25/02/2025
Shadowing y registro de tareas (As Is) en producción Línea de Líquidos;1;1;26/02/2024;26/02/2024
Diseño de los escenarios de solución;;;;
Generación de los paneles Daily Kaizen;1;1;27/02/2025;27/02/2025
Generación de la primera iteración de SMED con análisis del vídeo Limpieza Completa;1;1;03/03/2025;03/03/2025
Dinámica SMED con Key Users;1;1;04/03/2025;04/03/2025
Formación + Dinámica SMED Usuarios;1;1;05/03/2025;05/03/2025
Análisis de toma de datos del Shadowing Línea de Líquidos;1;1;05/03/2025;05/03/2025
Implementación;;;;
Kick Off Reuniones de Daily Kaizen;1;1;03/03/2025;03/03/2025
Generación Estándar Limpieza Completa En Línea de Botes;1;1;06/03/2025;06/03/2025
Marcage y reglage de elementos detectados de la Línea de Botes;1;1;07/03/2025;07/03/2025
Generación Primera Iteración del Estándar General del Trabajador Línea de Líquidos;1;1;14/03/2025;14/03/2025
Generación Segunda Iteración del Estándar General del Trabajador Línea de Líquidos;1;1;04/04/2025;05/04/2025
Despliege Línea de Botes;;;;
Kick Off y Seguimiento en Vídeo del Estándar de Limpieza Completa en Línea de Líquidos;1;1;10/03/2025;10/03/2025
Validación e implementación ;8;;10/03/2025;31/07/2025
Auditorias de cumplimento del estándar;4;1;15/03/2025;31/07/2025
Análisi de datos;5;;10/03/2025;31/07/2025
Despliege Línea de Líquidos;;;;
Primera Prueba del Estándar General del Trabajador en Línea de Líquidos + Seguimiento Producción;5;1;17/03/2025;21/03/2025
Segunda Prueba del Estándar General del Trabajador en Línea de Líquidos + Seguimiento Producción;4;1;15/04/2025;20/04/2025
Auditorias de cumplimento del estándar;4;1;17/03/2025;30/06/2025
Análisi de datos;5;;17/03/2025;30/06/2025
Control ;;;;
Steering Comitee;6;;17/02/2025;31/07/2025
Elaboración de la Memoria;40;;01/08/2025;25/09/2025
