Month Number;Month Name;Week Number;OEE
12,00;December;1,00;
1,00;January;2,00;
1,00;January;3,00;
1,00;January;4,00;
1,00;January;5,00;0,27
2,00;February;6,00;0,328
2,00;February;7,00;0,380133333
2,00;February;8,00;0,178314815
2,00;February;9,00;0,260481481
3,00;March;10,00;0,225148148
3,00;March;11,00;0,243296296
3,00;March;12,00;0,560074074
3,00;March;13,00;0,456362963
3,00;March;14,00;0,396
4,00;April;15,00;0,3729
4,00;April;16,00;0,38916
4,00;April;17,00;0,303972222
4,00;April;18,00;0,304575483
5,00;May;19,00;0,359325926
5,00;May;20,00;0,519837037
5,00;May;21,00;0,416148148
5,00;May;22,00;0,384392593
6,00;June;23,00;0,43825
6,00;June;24,00;0,268530556
6,00;June;25,00;0,3744
6,00;June;26,00;0,41
6,00;June;27,00;0,37
7,00;July;28,00;0,53
7,00;July;29,00;0,48
7,00;July;30,00;0,56
7,00;July;31,00;0,545
8,00;August;32,00;
8,00;August;33,00;
8,00;August;34,00;
8,00;August;35,00;
9,00;September;36,00;
9,00;September;37,00;
9,00;September;38,00;
9,00;September;39,00;
9,00;September;40,00;
10,00;October;41,00;
10,00;October;42,00;
10,00;October;43,00;
10,00;October;44,00;
11,00;November;45,00;
11,00;November;46,00;
11,00;November;47,00;
11,00;November;48,00;
12,00;December;49,00;
12,00;December;50,00;
12,00;December;51,00;
12,00;December;52,00;
12,00;December;53,00;
